excluded,term,estimate,se,p
accuracy,(Intercept),-0.07180355416312889,0.02252720573303043,0.0053582525513237505
accuracy,rating_shown,-0.04398341138301507,0.012252980464547,3.3139966709342175e-4
accuracy,label_shown,-0.204999204612259,0.008737907245972303,2.7990861142203035e-121
source_rating,(Intercept),-0.05745936973259109,0.020324757732249305,0.00977728235924807
source_rating,accuracy_nudge,-0.10917607965754489,0.024922347682301144,1.2390363359917945e-5
source_rating,label_shown,-0.20579103666669046,0.008998346685371942,2.129864220442439e-115
factcheck_label,(Intercept),-0.051402919174542386,0.02179187911834339,0.020121601636255777
factcheck_label,accuracy_nudge,-0.1047850125296174,0.024427340403929576,1.8363696007537534e-5
factcheck_label,rating_shown,-0.04829893445014925,0.01357354919090263,3.7360373853793867e-4
