effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,term_clean
fixed,accuracy_nudge,-0.10815303879598491,0.02487997939943502,-4.34699068916596,2163.4823599516567,1.4441263615762304e-5,-0.1569441984090914,-0.05936187918287842,Accuracy nudge
fixed,rating_shown,-0.0451130633075167,0.012766950195580896,-3.5335818356315016,97512.83568965152,4.1015866401027687e-4,-0.07013613647867167,-0.020089990136361726,Source rating
fixed,label_shown,-0.20562524181883854,0.009032712476880025,-22.76450649183768,86492.31581244292,2.2401538418173893e-114,-0.22332928070469663,-0.18792120293298045,Fact-check label
